,brewery_name,state,state_breweries
0,Valley Brewing Co.,CALIFORNIA,284
1,Valley Brewing Co.,CALIFORNIA,284
2,Valley Brewing Co,CALIFORNIA,284
3,Ukiah Brewing Company,CALIFORNIA,284
4,Tustin Brewing Co.,CALIFORNIA,284
5,Trumer Brauerei,CALIFORNIA,284
6,Trumer Brauerei,CALIFORNIA,284
7,Triple Rock Brewing Co.,CALIFORNIA,284
8,Tied House Cafe & Brewery (San Jose),CALIFORNIA,284
9,Tied House Cafe & Brewery (Mt. View),CALIFORNIA,284
10,Thirsty Bear Brewing Co.,CALIFORNIA,284
11,Third Street Ale Works,CALIFORNIA,284
12,The Brewhouse,CALIFORNIA,284
13,The Beach Chalet,CALIFORNIA,284
14,Telegraph Brewing Company,CALIFORNIA,284
15,Taylor's Restaurant & Brewery,CALIFORNIA,284
16,Taps Fishouse & Brewery,CALIFORNIA,284
17,"Tailgate Brewery, LLC",CALIFORNIA,284
18,Sudwerk Privatbrauerei Hübsch,CALIFORNIA,284
19,Sudwerk Brewery & Grill,CALIFORNIA,284
20,Stumptown Brewery,CALIFORNIA,284
21,Stone Brewing/World Bistro & Gardens,CALIFORNIA,284
22,Steelhead Brewing Co - Burlingame,CALIFORNIA,284
23,Steelhead Brewery & Cafe,CALIFORNIA,284
24,Stadium Brewing Company,CALIFORNIA,284
25,St. Stan's Brewing Co.,CALIFORNIA,284
26,Speakeasy Ales and Lagers,CALIFORNIA,284
27,Spanish Peaks Brewing Co. ,CALIFORNIA,284
28,Sonoma Chicken & Brewery,CALIFORNIA,284
29,Solana Beach Brewery (Pizza Port),CALIFORNIA,284
30,Snowshoe Brewing Company,CALIFORNIA,284
31,Snowshoe Brewing Company,CALIFORNIA,284
32,Snowshoe Brewing Co.,CALIFORNIA,284
33,Skyscraper Brewing Company,CALIFORNIA,284
34,Six Rivers Brewing Co.,CALIFORNIA,284
35,Silverado Brewing Company,CALIFORNIA,284
36,Sierra Nevada Brewing Co.,CALIFORNIA,284
37,Sierra Madre Brewing Co.,CALIFORNIA,284
38,Shmaltz Brewing Co,CALIFORNIA,284
39,Sequoia Brewing Company,CALIFORNIA,284
40,Sequoia Brewing Company,CALIFORNIA,284
41,Seabright Brewery,CALIFORNIA,284
42,Schooners Grille & Brewery,CALIFORNIA,284
43,Santa Cruz Mountain Brewing Co.,CALIFORNIA,284
44,Santa Cruz Aleworks,CALIFORNIA,284
45,Santa Barbara Brewing Co.,CALIFORNIA,284
46,San Pedro Brewing Company,CALIFORNIA,284
47,San Marcos Brewery & Grill,CALIFORNIA,284
48,San Francisco Brewing Co.,CALIFORNIA,284
49,San Diego Brewing Company,CALIFORNIA,284
50,Ruth McGowan's Brewpub,CALIFORNIA,284
51,Russian River Brewing Co.,CALIFORNIA,284
52,Rubicon Brewing Company,CALIFORNIA,284
53,Rogue Ales Public House,CALIFORNIA,284
54,Rock Bottom Restaurant & Brewery,CALIFORNIA,284
55,Rock Bottom Restaurant & Brewery,CALIFORNIA,284
56,Rock Bottom Restaurant & Brewery,CALIFORNIA,284
57,Rock Bottom Restaurant & Brewery,CALIFORNIA,284
58,Riverside Brewing Co.,CALIFORNIA,284
59,River City Brewing,CALIFORNIA,284
60,Revolutionary Brewing Co.,CALIFORNIA,284
61,Redondo Beach Brewing Company,CALIFORNIA,284
62,Red Rock Winery & Brewery,CALIFORNIA,284
63,Red Car Brewery & Restaurant,CALIFORNIA,284
64,Reaper Ale,CALIFORNIA,284
65,Pyramid Brewery & Alehouse,CALIFORNIA,284
66,Pyramid Alehouse Brewery & Restaurant,CALIFORNIA,284
67,Pyramid Alehouse,CALIFORNIA,284
68,Pyramid Alehouse,CALIFORNIA,284
69,Port Brewing Co/The Lost Abbey,CALIFORNIA,284
70,Pizza Port Carlsbad Brewery,CALIFORNIA,284
71,Pizza Port Brewing Co-Solana Beach,CALIFORNIA,284
72,Pizza Port Brewing Company,CALIFORNIA,284
73,Peter B's Brewpub,CALIFORNIA,284
74,Pacific Coast Brewing Co.,CALIFORNIA,284
75,Omaha Jack's Steakhouse & Brewery,CALIFORNIA,284
76,Oggi's Pizza & Brewing Company (Carmel Mtn. Ranch),CALIFORNIA,284
77,Oggi's Pizza & Brewing Company,CALIFORNIA,284
78,Oggi's Pizza & Brewing Company,CALIFORNIA,284
79,Oggi's Pizza & Brewing Company,CALIFORNIA,284
80,Oggi's Pizza & Brewing Company,CALIFORNIA,284
81,Oggi's Pizza & Brewing Company,CALIFORNIA,284
82,Oggi's Pizza & Brewing Company,CALIFORNIA,284
83,Oggi's Pizza & Brewing Company,CALIFORNIA,284
84,Oggi's Pizza & Brewing Company,CALIFORNIA,284
85,Oggi's Pizza & Brewing Company,CALIFORNIA,284
86,Oggi's Pizza & Brewing Company,CALIFORNIA,284
87,Oggi's Pizza & Brewing Company,CALIFORNIA,284
88,Oggi's Pizza & Brewing Company,CALIFORNIA,284
89,Oceanside Ale Works,CALIFORNIA,284
90,Ocean Brewing Company,CALIFORNIA,284
91,North Coast Brewing Co.,CALIFORNIA,284
92,Newport Beach Brewing Co.,CALIFORNIA,284
93,New English Brewing Co. Inc,CALIFORNIA,284
94,Napa Valley Brewing Co./ Calistoga Inn,CALIFORNIA,284
95,Mt. Shasta Brewing Company,CALIFORNIA,284
96,Moylan's Brewery & Restaurant,CALIFORNIA,284
97,Mount Tallac Brewing Co.,CALIFORNIA,284
98,Mount St. Helena Brewing Co.,CALIFORNIA,284
99,Morro Bay Brewing Company,CALIFORNIA,284
100,Moonlight Brewing Company,CALIFORNIA,284
