,state,wineries
0,ALABAMA,9
1,ALASKA,8
2,ARIZONA,26
3,ARKANSAS,10
4,CALIFORNIA,2025
5,COLORADO,72
6,CONNECTICUT,28
7,DELAWARE,2
8,FLORIDA,46
9,GEORGIA,20
10,HAWAII,4
11,IDAHO,32
12,ILLINOIS,83
13,INDIANA,40
14,IOWA,62
15,KANSAS,16
16,KENTUCKY,44
17,LOUISIANA,7
18,MAINE,14
19,MARYLAND,31
20,MASSACHUSETTS,31
21,MICHIGAN,112
22,MINNESOTA,26
23,MISSISSIPPI,2
24,MISSOURI,86
25,MONTANA,10
26,NEBRASKA,20
27,NEVADA,5
28,NEW HAMPSHIRE,10
29,NEW JERSEY,41
30,NEW MEXICO,36
31,NEW YORK,239
32,NORTH CAROLINA,74
33,NORTH DAKOTA,8
34,OHIO,108
35,OKLAHOMA,46
36,OREGON,295
37,PENNSYLVANIA,115
38,RHODE ISLAND,7
39,SOUTH CAROLINA,11
40,SOUTH DAKOTA,14
41,TENNESSEE,29
42,TEXAS,136
43,UTAH,7
44,VERMONT,14
45,VIRGINIA,140
46,WASHINGTON,451
47,WEST VIRGINIA,16
48,WISCONSIN,41
49,WYOMING,3
